,tweets
11497,"RT @2LarryJohnson7: 42.4 million babies killed by abortion in 2019

Media blackout on all Undocumented number of children ritualistically…"
11498,RT @chiakaamako: Ps: some people are going from house to house in Abuja pretending to be NCDC officials asking to conduct corona virus test…
11499,RT @HonestIyAndrew: TMZ confirmed! One Direction Reunion pushes back 75 years because of corona virus. Niall looks so concerned :( https://…
11500,imagine corona virus is fake &amp; it’s just part of an upcoming movie…like the clown bs in 2016
11501,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11502,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11503,Hi CDC AND ALL PEOPLE WHO WANTS TO GET RID OF COV19 AS SIMPLE AS 1 2 3 GET FRESH OR DRY PARSLEY PUT IN SMALL PAN OF… https://t.co/Wk1ZzGmGQm
11504,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11505,This corona virus is history. Lost my aunt today. Knowing tht I have another angel 🙏🏾Am put on this earth to be a o… https://t.co/abHOaapVDA
11506,"Tomorrow is monday

Could buhari disburse the 30k corona virus allowee?"
11507,"What happens after the Corona Virus Depression?  

- Meet with a Data Science team that predicted deflation and fal… https://t.co/7MiCBIz1C5"
11508,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11509,"RT @CMOH_Alberta: Here is a summary thread of today’s #COVID19AB public health update and some details on our efforts to slow the virus.

I…"
11510,"RT @tom_trotts: ""For 2.2 trillion (the cost of the Corona virus stimulus) we could have eliminated the income tax for every American worker…"
11511,RT @samuelfishr: PSA: If you’re 18+ you’re eligible for $1000 from PayPal due to the Corona Virus pandemic! (I’ll link the site below)
11512,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
11513,"RT @Sam_Tuero: Thank you to everyone who has shared Jesús story &amp; the campaign so far. In just a few days, we have raised $2,505 (!!!) towa…"
11514,"RT @StevenHyden5: One of the symptoms of corona virus is having no taste
My thoughts go out to Manchester United fans"
11515,RT @RoArquette: Prayers for Musician John Prine he is hospitalized with corona virus and he’s in critical care.
11516,RT @DrRezaMia: Basically using plasma from people who have recovered from Corona virus will allow for the transfer of corona virus antibodi…
11517,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11518,RT @ToriNicksWho: Besides the effects of increased radiation I think the 5G network will be used to Spy on us even more... considering $500…
11519,if I can’t move into my new house cause of corona virus I will cut someone
11520,"RT @PacoSalzetto: @Mexicana1ro @Sarili75 @BeatrizGMuller @jorgeramosnews @DrTedros  
In Mexico the government has been acting irresponsibly…"
11521,My job has over 6 positive cases of the Corona Virus and as a way to show us they care they gave us a bag of nugget… https://t.co/ylSo9FoOsA
11522,RT @chiakaamako: Ps: some people are going from house to house in Abuja pretending to be NCDC officials asking to conduct corona virus test…
11523,@ADrockur What did they actually die of?  The corona virus is the most common flu virus.   Test the population and… https://t.co/ngt5rLc9wa
11524,"RT @Magni5scent: First Name: CORONA
Surname: VIRUS 
NickName: COVID 
Age: 19.
Nationality: CHINA
Next of kin : HANTA VIRUS
Hobby : Travelin…"
11525,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11526,RT @thomaskaine5: SHOCKING.   USA has 20% of the corona-virus cases in the world.  Yet we still do not have a National Stay at Home Order.…
11527,"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…"
11528,///  #UPDATE :  BBC News - #Coronavirus: What we still don't know about #Covid19 &gt;  https://t.co/PcSt3E2t9q… https://t.co/tNQk5VcOK7
11529,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
11530,"RT @wrdrmrjt: Railway Combats Corona Virus: In an innovative move, a contactless Hand Wash System has been developed by staff of Coaching D…"
11531,"RT @PeterSweden7: HORRIFIC😭😭😭

Scenes from New York shows dead body being loaded onto refrigerated truck with a forklift.

USA now🇺🇸:

- 14…"
11532,"RT @sagenaradamuni: Corona Virus would rather commit Sooocide than attack Humans 😀

https://t.co/BU8Hwg4e04"
11533,"@V8 How come V8 “Splash” is 5% juice and 95% not juice?

I got some in case I get corona virus, and now I’m afraid… https://t.co/Il4FHQnpjA"
11534,Dawg.... Fulton alone has 425 cases of the corona virus
11535,@mnnIight corona virus is shaking
11536,"RT @market_raven: Corona Virus is less dangerous than the daily life of an American. Deaths are dropping from isolation. 

https://t.co/KzY…"
11537,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11538,RT @meralee727: Trump purposely not including the Democrats in the signing of the Corona Virus legislation is your daily reminder that our…
11539,RT @TC1776: Just another thing going on while we are consumed with The Corona Virus ! https://t.co/ZoHOFI11N7
11540,RT @StolenRapMeme: Playboi Carti really predicted the Corona Virus and we didn’t even notice it 😞 https://t.co/DxFjAgSpMI
11541,"#nowplaying CORONA VIRUS (who to blame )? by VIBEZZ via the @audiomack app. @v_official1 
https://t.co/Pnob0ArbXg"
11542,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11543,"RT @2LarryJohnson7: People who don’t know me, trying to gauge my personality, tone, humor through tweets🥴

This Corona virus is just to lur…"
11544,"RT @MosimaPrudence: What in the world is going on!?🧐
Hail crystals that looks like corona virus!? 👀 Evidence 🙌🏾

#Covid19inSA https://t.co/…"
11545,"RT @jhazgaldones: CORONA VIRUS.. REVEALED! *ctto*

— a thread"
11546,It’s funny seeing people who said this corona shit a hoax the government doing it etc end up catching the virus
11547,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11548,"RT @imVishal_insan: #SelflessServiceByDSS
Plasma Donation, DSS Volunteers, New Zealand. @DeraSachaSauda is offering its selfless humanitari…"
11549,In the name of Jesus I decree and declare  hallelujah that the CORONA virus will not touch us. WE decree and declar… https://t.co/tonV8czvxm
11550,@ranjeet87035789 @Swamy39 These assholes are waiting to corona virus to spread. But we will win and this nationalis… https://t.co/KGle9fEh1C
11551,RT @juicyfruitsnacc: @MullenSlays @ToastedShoes been havin the Corona virus https://t.co/YezVqmBWxx
11552,"RT @erinruddy: For everyone out there in need of a bit of hope...This is my grandad 82, arriving back home after beating the corona virus.…"
11553,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11554,Vampires are spreading the Corona Virus? https://t.co/JFvyWpi7Td https://t.co/Gk8VoxtEiH
11555,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11556,"RT @BeauBennett19: With all the differences that humans have, I think we can all agree that dogs not being able to get corona virus was the…"
11557,"RT @PrimeAnunoby: apparently a corona virus symptom is having no taste, praying for you Youngboy fans 🙏"
11558,"RT @KTHopkins: Dear Good People. 

As more people are tested, more people are found to have Corona Virus. 

This does not necessarily mean…"
11559,RT @MadarasiMunda: NEW:  Actor Shah Rukh Khan has decided to donate for the corona virus relief fund from the profits derived out of the la…
11560,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11561,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11562,"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…"
11563,"RT @Geskalima: Let’s pray the MEMORARE ( Remember, O most gracious Virgin Mary) to ask Our Lady her intercession to end the Corona virus pa…"
11564,@brittroxo And one of them bitches name is Corona Virus I hate her the most!
11565,"f da CORONA virus. 🦠 my cuz customized me a mask, just for the fun of it.. https://t.co/5uY5NZyFyJ"
11566,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11567,He is a very famous Japanese elderly comedian. His name is Ken Shimura. He became infected with the coronavirus in… https://t.co/ciOWzwxVgi
11568,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11569,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11570,"RT @ZaidZamanHamid: Hear it yourself...this was in 2013...

""2020 Corona virus influenza epidemic..."" https://t.co/gGrhMNafIk"
11571,"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…"
11572,"RT @_SJPeace_: My heart can't 😭

This Muslim couple, owners of a corner shop in Scotland, assembled Corona Virus relief packages for the el…"
11573,RT @chiakaamako: Ps: some people are going from house to house in Abuja pretending to be NCDC officials asking to conduct corona virus test…
11574,"RT @ImAllexx: apparently a corona virus symptom is having no taste, thoughts go out to all the kpop stans at this time 🙏"
11575,RT @AMAZlNGSCIENCE: This gives you an idea how many layers of protection doctors must protect themselves everyday from the corona virus. ht…
11576,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11577,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11578,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11579,if it wasnt for the corona virus going around I would totally try those coin karaoke joint and jam to bts and 5sos songs
11580,me when i see a person with a weak immune system: I HOPE YOU GET CORONA VIRUS no no not in an ableist way!!! in a woke way&lt;3 i hate ceos
11581,RT @Badgyalana: An infant has been diagnosed w the corona virus in ORANGE COUNTY. If you are not taking this virus seriously stay the FUCK…
11582,RT @kfeeroz123: @markminervini Nothing new in it! This drug is being used to treat Malaria since decades and Indian doctors started using i…
11583,The Corona virus is brought to you by Raid shadow legends.
11584,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11585,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11586,"RT @ImAllexx: apparently a corona virus symptom is having no taste, thoughts go out to all the kpop stans at this time 🙏"
11587,"RT @kerryhew: 102 year old woman recovers from Corona-Virus. Yay, great to hear! https://t.co/hEE3EDedkF"
11588,"RT @ImAllexx: apparently a corona virus symptom is having no taste, thoughts go out to all the kpop stans at this time 🙏"
11589,@DharmaaWins @nazir28 @anjali_anupama If u get corona u don't even know that corona was inside. Without knowing tha… https://t.co/lnm4ynToAq
11590,RT @SolomonYue: Thank God 4 this game charger in🇺🇸favor. Emperor Corona has awakened a sleeping giant w/ his coverup/lies which infected 12…
11591,@Too_Many_Leaks @ArmyBratt68 Trump said that “the corona virus was their new hoax”. He was referring to the Democra… https://t.co/9Pux7CAjmh
11592,"RT @Tunnelcat2: OTHER COUNTRIES ARE NOT TRYING TO HARM OUR POTUS WITH LIES AND PROPAGANDA ABOUT ANTI-MALARIA DRUG USE IN FIGHTING THE
CORON…"
11593,"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…"
11594,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11595,RT @ameyahardas: @FirstSquawk Idiot Chinese. Their ventilators have 70% failure rate. Spain has returned most of the faulty Chinese masks t…
11596,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11597,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11598,"RT @rbickford33: JUST A THOUGHT: A recent survey was taken, asking if Americans thought the Corona virus came from a Bat, or was man made?…"
11599,@MatthewChozick I hope your cousin beat the corona virus!!
11600,@RealCandaceO Show me the proof that all post mortems include a corona virus test.. we’re not even testing all livi… https://t.co/mnS3Uzui7G
11601,RT @MadarasiMunda: NEW:  Actor Shah Rukh Khan has decided to donate for the corona virus relief fund from the profits derived out of the la…
11602,Could people stop spreading that tweet about the March to End Corona Virus. The photo is from a Cleveland Cavaliers… https://t.co/Oc3sK8nmUi
11603,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11604,RT @DannaFeria: me bc my mom still hasn’t let me leave the house since the whole corona virus started
11605,"RT @GHANSHYAM_JJN: #WhoCanSave_The_World
Only Saint RampalJi maharaj can save the world
Due to Corona virus, there is chaos in the whole wo…"
11606,"RT @ABHIJIT_LS: No updates of Corona by ICMR for Saturday &amp; Sunday ! No data published by them .
So either the virus took weekly offs or th…"
11607,"RT @arwidodo: This doctor suggests using hot air therapy to prevent and cure early symptoms of corona virus infection
(Thread, part 1) http…"
11608,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11609,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11610,RT @ToriNicksWho: Besides the effects of increased radiation I think the 5G network will be used to Spy on us even more... considering $500…
11611,@jacksonpbn At some point i taught of it... How come no one is dying from the world famous Corona Virus in Nigeria?… https://t.co/VHP9BR7iWS
11612,RT @nielo_Twit: Even pastors are waiting for corona virus to clear so they can continue healing the sick.
11613,This corona virus bullshit gonna go down for about 5-10 years y’all need to think about that 1x
11614,My friend’s mom is currently battling cancer. She is a single mom and both her daughters are out of work right now… https://t.co/DyEG1zyhAM
11615,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11616,@Gforceatlas Lulz so Corona virus doesn’t exist huh? https://t.co/wFS5GAwmEy
11617,"RT @ZonePhysics: Australian Researcher Claim that They've Found a ""Cure"" for the Corona Virus
https://t.co/Fjolcd9nsp"
11618,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11619,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11620,Found myself in a corona virus 2k tournament
11621,"@amy_hollyfield @TB_Times @MiamiHerald You need to be barred, we here in Florida have a great Governor and I agree… https://t.co/wwJ8ms9LUU"
11622,"RT @Unathi_Kwaza: From tomorrow and the rest of the week, corona virus won't strike. How else do u explain Mbalula suddenly increasing taxi…"
11623,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
11624,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11625,"RT @one_rexxx: We beg, please wait for the corona virus to go down cos we cant stand two pandemics at the sometime."
11626,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11627,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11628,"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…"
11629,RT @Ccrystvll: @WhoDatTrap mm the racism and xenophobia i hope you catch the corona virus
11630,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11631,"RT @PeterSweden7: HORRIFIC😭😭😭

Scenes from New York shows dead body being loaded onto refrigerated truck with a forklift.

USA now🇺🇸:

- 14…"
11632,RT @Safikhalil_: Finance Minister of #Germany (Thomas Schafer) committed suicide coz #Corona_Virus hits their economy badly 🤦‍♂😥 https://t.…
11633,There's two ways nations can treat COVID-19 - there are already four types of corona viruses that repeatedly encirc… https://t.co/RrTXybd4ZB
11634,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11635,When the corona virus is gone i may need to go to an AA meeting.....
11636,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11637,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11638,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11639,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11640,"RT @jhazgaldones: CORONA VIRUS.. REVEALED! *ctto*

— a thread"
11641,"RT @imVishal_insan: #SelflessServiceByDSS
Plasma Donation, DSS Volunteers, New Zealand. @DeraSachaSauda is offering its selfless humanitari…"
11642,Burnt out on Corona Virus news? Think again. Be curious. Learn. Understand how flattening the curve works. This is… https://t.co/CA9USwEm7H
11643,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11644,"RT @stephenandjill: What my daughter just prayed, “Lord help the Gospel to start spreading around the world as fast as the Corona Virus!”"
11645,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11646,Corona virus update: I finally whooped my big brother's ass in Madden 20 🥴😈‼️
11647,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11648,RT @thomaskaine5: SHOCKING.  The USA has 20% of the corona-virus cases in the world.  Yet we still do not have a National Stay at Home Orde…
11649,RT @LloydCedricks: Correction: ANTI-FLU Drug po ang Avigan and not a vaccine drug but it cures 90% of the corona virus. For further info:…
11650,"RT @NancyCushman: @atrupar FL's gonna need em...

since CORONA DON/FUX NEWS told their CULT FOLLOWERS there at The VILLAGES et al the VIRUS…"
11651,RT @TC1776: Just another thing going on while we are consumed with The Corona Virus !
11652,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11653,"RT @coolfunnytshirt: Rohini Singh: Have those Samajvadi leaders donated money for Corona Virus Outbreak? 

Samajvadi leader: Chal apna flat…"
11654,RT @thomaskaine5: SHOCKING.   USA has 20% of the corona-virus cases in the world.  Yet we still do not have a National Stay at Home Order.…
11655,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
11656,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
11657,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11658,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11659,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11660,@veritasunknown1 Theres 7 types of corona virus this isnt weird at all. The one out now is a NEW (Novell) one
11661,@ShannonBream what do u say about the hospitals that are not having no rush in the corona virus in NY .. we have vi… https://t.co/mHcud0uX2W
11662,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11663,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11664,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11665,"Joe diffie dying from the corona virus is the biggest wake up ever, really shows how serious this should be taken. @JoeDiffie"
11666,"RT @ZaidZamanHamid: Hear it yourself...this was in 2013...

""2020 Corona virus influenza epidemic..."" https://t.co/gGrhMNafIk"
11667,"RT @Girirajsahu1994: #GodMorningMonday
End Of The Corona Virus Pandemic
TRUE
Saint Rampal Ji Maharaj Is Telling The World Via Satsangs That…"
11668,"RT @MoralNecessity: @dondacamara @lilmisslisajean WHO/WB Pandemic Bond due July 15, 2020. Corona virus listed. “....the outbreak would need…"
11669,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11670,The only thing growing more exponentially than the corona virus is trump’s bullshit
11671,RT @thomaskaine5: SHOCKING.  The USA has 20% of the corona-virus cases in the world.  Yet we still do not have a National Stay at Home Orde…
11672,"RT @kumarashok2509: #SantRampalJi_CanEndCorona
Respected PM Presently the entire nation is suffering due to the corona virus pandemic we si…"
11673,"RT @Doks_Art: Praying for the United States and President @realDonaldTrump to get ahead of the Corona Virus; the world needs it🙏
Please RT!…"
11674,"RT @LazyMeatball: Open borders coalition demands all 37,000 illegal aliens be freed from federal custody over coronavirus

🤦‍♂️

If anythin…"
11675,"RT @ImAllexx: apparently a corona virus symptom is having no taste, thoughts go out to all the kpop stans at this time 🙏"
11676,RT @INDIEWASHERE: america has more ppl w corona virus than CHINA which has a high population and this guy is talking about ratings?!?! amer…
11677,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11678,"RT @nishkumar1977: With so much donation money pouring in, can India for once keep its corruption aside this time and use every last rupee…"
11679,"Anybody still going out for non essential business, having parties or gatherings of any kind please don’t post anyt… https://t.co/a7hizxa0Ew"
11680,"RT @troysotrill: On a positive note, due to the corona virus the word has seen a large drop in CO2 emissions which is the main driver of gl…"
11681,"RT @imVishal_insan: #SelflessServiceByDSS
Plasma Donation, DSS Volunteers, New Zealand. @DeraSachaSauda is offering its selfless humanitari…"
11682,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11683,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11684,"RT @SumanKa00484053: #SantRampalJi_CanEndCorona
An Appeal to the prime minister of India !
True Saint Rampal Ji Maharaj is telling the worl…"
11685,"RT @SealeTeam1: @trustrestored Oregon's Soros- backed Democrat governor bans use of hydroxychloroquine for Corona Virus victims...
https://…"
11686,"RT @ZonePhysics: Australian Researcher Claim that They've Found a ""Cure"" for the Corona Virus
https://t.co/Fjolcd9nsp"
11687,damn this corona virus really fucked my birthday up😢
11688,"@republic You, b! You returned because England is more susceptible to Corona Virus and India, so far is relatively… https://t.co/SVDFqD06pe"
11689,"RT @TheSkandar: #ChineseVirus19

The Corona Virus travelled entire world from #Wuhan but it did not reached Beijing and Shanghai.

Can anyb…"
11690,"RT @Wicked6_: Mask☑️
Bars about corona virus☑️
Colorful hair☑️
Now make me famous twitter 😷 https://t.co/RB7JLQ52iH"
11691,"RT @erinruddy: For everyone out there in need of a bit of hope...This is my grandad 82, arriving back home after beating the corona virus.…"
11692,RT @xanakinskywok: She can't lick yo nuts be she can lick a toilet seat for a corona virus challenge
11693,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
11694,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
11695,"RT @1066Jd: Even we walk in the valley of corona virus today we will not fear no danger,because God walks with us.psalm23:4"
11696,"RT @andrewsharold3: Pray for this boy. Both parents are infected with corona virus, he needs your prayers. https://t.co/hJj8iO1AGy"
11697,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
11698,Immunity definitely has a very huge role to play in the transmission of corona following exposure to the virus.
11699,RT @GinaWitDaNina: I hope everyone have the same energy when this corona virus over
11700,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11701,RT @chiakaamako: Ps: some people are going from house to house in Abuja pretending to be NCDC officials asking to conduct corona virus test…
11702,RT @TC1776: Just another thing going on while we are consumed with The Corona Virus !
11703,"RT @imVishal_insan: #SelflessServiceByDSS
Plasma Donation, DSS Volunteers, New Zealand. @DeraSachaSauda is offering its selfless humanitari…"
11704,what i mean by my last tweet is i found some marks under my arm and it could be an indication of cancer. I haven’t… https://t.co/qZu61gjrg7
11705,"RT @Dinesh_Jat_: #WhoCanSave_The_World
Only Saint RampalJi maharaj can save the world
Due to Corona virus, there is chaos in the whole worl…"
11706,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11707,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11708,RT @chodohgyul: People still don't realize it right now because things are still fine but this Corona Virus will slowly make us suffer. Tim…
11709,RT @nhannahjones: A weepy man records bodies being placed in the back of a refrigerated truck in Brooklyn and the President of the United S…
11710,RT @diva_ex_machina: @LisaMillar The big problem is medical services. A few cases of corona virus will quickly overwhelm local emergency se…
11711,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11712,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11713,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11714,"RT @jhazgaldones: CORONA VIRUS.. REVEALED! *ctto*

— a thread"
11715,RT @Klump48: Test that can detect coronavirus in minutes gets U.S. approval - National | https://t.co/MqaGLUkgYA https://t.co/ii3JJzoHM3…
11716,RT @ulsherlan: Let’s just beg China to release the cure for corona virus. I’m sure they have it
11717,"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…"
11718,Truth of China’s conspiracy Over Corona virus | Capital TV https://t.co/4s7yfNa9Sf via @YouTube
11719,This dude created the Corona virus with his mind SMH https://t.co/YMqk2VJ8SP
11720,How many people agree that the Corona virus would practically disappear if Democrat Politicians and the biased medi… https://t.co/gL1vQKFq9S
11721,"RT @divzmark: coronavirus this, corona virus that. can we talk about whats really important here? me?"
11722,RT @CODEiNEROBiNSON: CONSPIRACY THEORISTS ARE IN HEAVEN RN LOL..FORTUNATELY MOTHER NATURE IS BEHIND THE CORONA VIRUS AND ITS NOT SOME BIO T…
11723,"RT @10velyid: 10 Steps To Prevent Corona Virus Transmission

Stay safe 10velys!💜
#PreventCOVID19Spread #TENChittaphon #TEN #李永钦 #텐 #テン #เตน…"
11724,"RT @AliSohaibKhan: SP Operations Mardan, Waqar Kharal, has tested positive for Corona Virus. He was infected during handling people at the…"
11725,RT @Rosco15563315: @davido I pray your wife will survived from this problem of corona virus
11726,"RT @sumit_satlok: 🍃Saint Rampal Ji Maharaj has divine powers that can eradicate the corona virus. #GodMorningMonday
🙏
#SantRampalJi_CanEndC…"
11727,"RT @rishibagree: Rohini Singh wants the rich to donate for Corona Virus

Rohini Singh regularly flaunts her Mercedes on twitter

Rohini Sin…"
11728,RT @RoArquette: Prayers for Musician John Prine he is hospitalized with corona virus and he’s in critical care.
11729,"RT @FarhangNamdar: Corona virus is saving the planet from humans, From December 2019 to March 2020 carbon emission have decreased unprecede…"
11730,@DonaldJTrumpJr @inittowinit007 These scummy Dems would love to see this Corona virus continue on as long as possible.
11731,RT @samuelfishr: PSA: If you’re 18+ you’re eligible for $1000 from PayPal due to the Corona Virus pandemic! (I’ll link the site below)
11732,"This Corona Virus is similar to the one shown in Outbreak movie. Same scenes, same quarantine, same lockdown."
11733,RT @KyleChisholm11: If you ate the pizza at Joe Exotic’s zoo you are immune to corona virus
11734,RT @HildaBacigalupo: @NatureisCrueI @NicolaPorcella The corona virus is teaching us that we are the ones who should not be on this planet.
11735,"my aunt: if i die of cancer so be it

also my aunt: corona virus frightens me https://t.co/ekraDqpqYc"
11736,"RT @NikkiHaley: While some choose to criticize, I know @realDonaldTrump , @VP, and all of the members of the corona virus task force are wo…"
11737,One thing the Corona virus did is it showed us that Americans have a great sense of humor. So many great posts that… https://t.co/AodvwejacX
11738,"RT @CostiveBerry: Corona virus has killed millions of people 😫 but u n ur family are still alive,, thank God for de gift of life 🙏"
